Symbol,Valuation_Score,Profitability_Score,Growth_Score,Debt_Score,Earnings_Quality_Score,Efficiency_Score,Margin_Quality_Score,Return_Quality_Score,Fundamental_Weight,Price_vs_FairValue,RevenueGrowth_YoY,Debt_to_Equity,DebtToAssets,TTM_ROE,TTM_ROA,TTM_NetProfitMargin,TTM_AssetTurnover,TTM_EquityTurnover,EPSGrowth_YoY,NetIncomeGrowth_YoY,TTM_GrossMargin,TTM_OperatingMargin
ADBE,10,10,7,4,5,4,10,10,11.59,-21.49,10.49,1.54,60.59,57.69,23.99,30.0,0.8,1.92,17.11,10.28,89.11,36.63
ADSK,-5,9,7,-1,8,6,8,9,0.73,71.57,18.25,2.87,74.17,40.3,10.09,16.14,0.62,2.5,25.98,24.73,91.25,22.3
AMD,-5,4,10,10,10,0,4,3,1.95,31.39,35.59,0.26,20.94,5.59,4.53,10.32,0.44,0.54,61.7,61.22,48.26,8.78
AMZN,10,9,7,8,10,8,7,8,13.66,-26.91,13.4,0.97,49.22,23.33,11.31,11.06,1.02,2.11,36.36,38.22,50.05,11.02
ANET,-5,10,10,8,5,2,10,10,4.76,70.86,27.46,0.52,34.03,30.65,20.92,39.73,0.53,0.77,15.52,14.05,64.34,42.88
APH,3,9,10,4,10,4,5,10,8.54,-8.07,53.37,1.16,53.55,34.25,15.73,18.22,0.86,1.88,102.08,106.11,35.94,24.64
APP,-5,10,10,-4,10,6,10,10,2.07,93.09,68.23,3.3,76.76,220.83,46.36,51.28,0.9,4.31,96.0,92.34,83.31,59.92
ARM,-5,6,10,10,10,0,8,5,3.66,130.59,34.48,0.31,23.72,12.01,9.12,18.81,0.48,0.64,120.0,122.43,95.63,19.38
ASML,-5,10,3,4,2,4,10,10,0.24,122.38,0.65,1.37,57.88,52.57,21.03,30.58,0.69,1.72,3.79,2.31,52.44,36.32
AVGO,-5,10,10,4,10,0,10,9,4.15,47.41,28.18,1.1,52.49,30.61,13.75,36.2,0.38,0.85,93.33,96.99,67.77,39.89
AXON,-5,4,10,4,-10,0,0,3,-5.61,254.2,30.57,1.2,54.52,9.6,4.62,10.05,0.46,0.96,-103.49,-103.26,60.31,-0.96
BAC,10,3,10,-10,8,-2,8,0,2.68,-72.17,90.26,10.19,91.06,9.89,0.89,15.7,0.06,0.63,27.59,22.81,53.72,17.14
BIIB,10,5,-5,8,6,0,8,4,5.0,-66.51,-0.45,0.6,37.66,9.21,5.62,16.11,0.35,0.57,19.17,20.08,70.12,24.47
BLK,10,6,10,4,-10,-4,10,4,5.37,-36.45,25.25,1.82,61.98,11.84,4.05,26.64,0.15,0.44,-22.48,-18.88,51.64,32.59
CBRE,10,3,7,2,10,8,0,4,7.2,-30.59,13.52,2.26,67.47,14.49,4.64,3.12,1.49,4.64,65.75,61.33,37.94,4.39
CDNS,-5,10,7,8,6,4,10,8,3.9,129.23,10.15,0.85,45.84,21.49,11.42,20.35,0.56,1.06,20.69,20.58,87.82,28.5
CDW,10,6,3,-4,-4,8,2,8,2.32,-41.38,4.0,4.98,83.29,42.98,7.04,4.76,1.48,9.03,-5.96,-8.03,21.6,7.39
COF,10,0,10,-4,7,-2,1,-2,2.07,-38.62,42.9,4.82,82.8,1.62,0.25,2.24,0.11,0.73,7.78,79.68,45.74,2.59
COIN,10,10,10,8,10,0,10,8,14.63,-60.48,55.05,0.96,48.89,24.47,11.94,41.95,0.28,0.58,428.57,472.95,77.35,28.62
CRM,10,6,3,8,10,0,8,5,9.51,-33.66,8.63,0.59,36.92,11.92,7.29,17.91,0.41,0.67,38.22,36.61,77.73,20.54
CRWD,-5,-7,10,4,10,2,0,-8,-7.2,208.2,22.18,1.47,59.27,-8.61,-3.37,-6.88,0.49,1.25,100.0,102.1,74.27,-7.9
CRWV,3,-7,10,-10,-10,2,3,-8,-11.95,0.14,133.7,7.49,88.22,-44.26,-3.02,-17.8,0.17,2.49,-73.49,-69.39,73.85,3.63
CSGP,-5,0,10,10,-10,-2,0,-2,-6.22,62.7,20.36,0.25,20.3,0.25,0.2,0.66,0.3,0.38,-153.85,-158.3,79.25,-2.65
CTSH,10,7,3,10,-10,6,5,6,6.34,-51.11,7.36,0.35,26.01,14.52,10.61,10.2,1.04,1.42,-52.14,-52.92,34.06,15.76
CVLT,-5,7,7,-10,-4,6,6,8,-6.83,136.81,18.39,8.11,89.02,32.2,5.46,7.32,0.75,4.4,-5.71,-5.36,81.55,7.11
DASH,-5,4,10,8,10,4,6,4,2.07,86.96,27.35,0.89,47.09,9.98,5.6,6.83,0.82,1.46,44.74,50.62,50.49,5.48
DDOG,-5,0,10,8,-10,4,0,0,-5.98,417.57,28.35,0.76,43.18,3.47,1.8,3.32,0.54,1.04,-35.71,-34.45,79.92,-1.38
ELV,10,3,7,4,6,10,3,4,7.56,-66.28,12.33,1.79,64.09,12.98,4.62,2.84,1.63,4.57,20.87,17.03,77.66,3.83
ENPH,10,8,3,-1,10,2,5,7,7.32,-58.9,7.76,2.34,70.03,21.4,5.95,12.93,0.46,1.65,51.52,45.62,48.48,12.56
FANG,10,7,10,8,7,-2,7,5,11.46,-72.39,48.86,0.78,40.12,10.92,5.85,27.42,0.21,0.4,9.01,54.48,38.93,35.68
FLEX,10,4,3,-1,-4,8,-5,5,1.22,-27.26,3.96,2.88,74.24,17.47,4.63,3.33,1.39,5.25,-3.7,-7.01,8.9,4.73
FTNT,-5,10,7,-10,-10,6,10,10,-6.1,33.45,14.38,11.73,92.15,168.12,19.59,28.58,0.69,5.88,-11.43,-12.22,81.27,30.98
GLW,-5,4,10,4,-10,4,4,4,-4.51,31.56,20.91,1.55,59.87,12.29,4.74,9.16,0.52,1.34,-457.14,-467.52,35.69,13.41
GOOGL,10,10,7,10,10,4,10,10,15.0,-24.09,15.95,0.39,27.89,34.9,25.18,32.23,0.78,1.08,35.38,32.99,59.17,32.19
GTLB,10,-7,10,8,-10,4,0,-8,-1.22,-24.79,24.64,0.65,38.38,-5.01,-2.87,-4.7,0.61,1.07,-127.78,-127.99,88.01,-8.8
HIMS,-5,7,10,-1,-10,8,6,8,-3.66,84.31,49.16,2.84,73.99,25.3,9.1,6.05,1.5,4.18,-81.25,-79.13,75.01,5.2
HOOD,3,9,10,-4,10,-2,10,8,5.24,-4.78,100.0,3.84,79.33,26.53,6.49,52.19,0.12,0.51,258.82,270.67,84.59,47.69
HUBS,3,-7,10,8,10,4,0,-8,-0.61,1.37,20.87,0.89,47.01,-0.19,-0.1,-0.12,0.82,1.59,93.75,103.0,84.13,-1.73
INTC,10,0,3,8,-10,0,-3,-2,-0.49,-20.41,2.78,0.83,42.92,0.19,0.1,0.37,0.27,0.52,-123.2,-124.42,35.58,-4.46
INTU,7,10,7,8,10,4,10,8,12.2,-13.1,18.34,0.72,41.79,22.1,12.7,21.19,0.6,1.04,127.14,126.4,80.79,26.69
IONQ,3,-7,10,8,10,-6,-4,-8,-2.32,0.76,221.5,0.89,47.03,-110.34,-60.73,-1836.32,0.03,0.06,1391.67,1909.59,23.47,-584.93
IREN,10,10,10,8,-10,-2,0,10,8.54,-53.77,341.8,0.48,32.6,25.14,17.1,75.44,0.23,0.33,-729.63,-843.83,65.35,-0.76
ISRG,-5,9,10,10,6,0,10,7,4.63,84.6,22.91,0.14,11.94,16.47,14.39,28.58,0.5,0.58,25.0,24.65,66.41,29.3
IT,7,9,3,-10,-10,6,8,9,-1.1,-15.02,2.68,12.02,92.32,92.46,11.22,13.71,0.82,6.74,-91.17,-91.48,68.17,15.62
JOBY,-5,-7,10,8,10,-6,-6,-8,-7.44,112.94,80521.43,0.52,34.39,-116.6,-82.08,-4657.23,0.02,0.03,128.57,178.87,12.36,-2926.56
KLAC,-5,10,7,2,6,6,10,10,2.2,41.58,12.96,2.27,69.45,98.88,27.06,33.83,0.8,2.92,20.83,18.52,61.62,42.19
KVYO,3,-7,10,10,-10,4,0,-8,-4.76,-6.92,32.24,0.28,22.05,-6.04,-4.8,-5.7,0.84,1.06,-100.0,-68.33,75.15,-8.71
LLY,-5,10,10,-4,10,6,10,10,2.07,16.54,53.87,3.83,79.25,96.94,19.02,30.99,0.61,3.13,480.37,475.34,83.03,43.86
LRCX,7,10,10,4,10,6,8,10,12.07,-11.32,27.74,1.15,53.46,61.16,27.84,29.66,0.94,2.06,44.19,40.51,49.31,33.0
MCK,10,-1,7,0,10,2,-5,-1,2.56,-47.38,10.14,-48.73,100.69,-167.24,5.2,1.04,4.99,-160.52,379.57,360.58,3.35,1.25
META,3,10,10,8,-10,4,10,10,6.22,-7.09,26.25,0.57,36.13,31.07,20.19,30.89,0.65,1.01,-82.59,-82.73,82.0,43.23
MPWR,10,10,7,10,8,2,10,10,14.27,-26.82,18.88,0.18,15.18,56.46,48.45,71.22,0.68,0.79,25.76,23.43,55.24,26.01
MRK,10,10,3,4,10,4,10,10,11.34,-71.27,3.72,1.5,59.93,38.78,15.43,29.63,0.52,1.31,87.1,83.24,78.32,36.42
MRVL,7,9,10,8,-10,0,7,7,6.95,-16.62,36.83,0.54,34.86,18.0,11.84,31.75,0.37,0.57,-380.77,-381.13,50.69,14.8
MSFT,-5,10,7,8,4,0,10,10,3.17,24.96,18.43,0.75,42.94,31.52,17.93,35.71,0.5,0.88,12.73,12.49,68.76,46.27
MU,10,10,10,8,10,2,8,8,14.63,-47.2,56.65,0.46,31.6,22.17,14.98,28.15,0.53,0.79,175.45,180.21,45.32,32.71
NBIS,-5,5,10,4,10,-6,0,3,-0.98,17.42,237.41,1.1,52.38,5.42,3.2,63.51,0.05,0.09,42.42,26.96,62.27,-150.92
NET,-5,-7,10,-4,-10,2,0,-8,-15.0,368.94,30.68,3.3,76.72,-8.61,-2.27,-5.12,0.44,1.68,-100.0,-91.59,75.19,-9.55
NFLX,-5,10,7,4,4,4,8,10,1.95,65.87,17.16,1.12,52.75,41.15,19.22,24.05,0.8,1.71,9.26,7.76,48.09,29.14
NOW,-5,7,10,8,6,4,7,6,2.93,152.8,21.81,0.93,48.13,16.56,8.21,13.67,0.6,1.21,17.07,16.2,78.05,13.85
NSC,10,9,3,4,-10,0,7,7,4.76,-37.72,1.7,1.94,66.04,20.12,6.71,24.22,0.28,0.83,-34.85,-35.3,34.05,34.05
NVDA,3,10,10,10,10,6,10,10,12.07,2.9,62.49,0.36,26.22,100.09,72.74,53.01,1.37,1.89,66.67,65.26,70.05,58.84
ORCL,10,9,7,-10,10,4,10,8,6.95,-20.22,14.21,5.73,85.14,65.38,8.42,25.28,0.33,2.59,90.91,94.7,70.7,30.28
PANW,-5,6,7,4,-4,2,7,5,-2.93,189.08,15.67,1.72,63.18,14.86,5.02,11.69,0.43,1.27,-4.08,-4.76,73.47,13.24
PAYX,7,10,7,-4,-4,2,10,9,4.27,-13.35,18.28,3.26,76.51,39.91,11.5,26.45,0.44,1.51,-4.39,-4.35,73.36,37.07
PCTY,10,6,10,-1,10,2,8,5,9.02,-20.75,28.52,2.84,73.95,19.82,4.73,13.75,0.34,1.44,40.98,39.04,68.81,19.15
PLTR,-5,9,10,10,10,2,8,8,5.73,664.17,62.79,0.22,17.57,18.9,15.16,28.11,0.54,0.67,216.67,231.37,80.81,21.81
POOL,3,8,3,4,2,10,3,9,3.9,-2.85,1.27,1.54,60.58,31.06,12.0,7.78,1.54,3.99,3.04,1.04,29.59,11.12
PWR,-5,3,7,4,5,8,0,4,-2.44,62.96,15.59,1.71,63.05,12.96,4.91,3.76,1.31,3.44,14.87,15.77,13.51,5.9
RCL,10,10,3,-1,10,2,8,9,8.9,-52.52,5.18,2.95,74.35,46.12,10.55,23.35,0.45,1.98,36.82,42.12,49.0,26.38
REGN,10,9,3,10,5,-2,10,7,10.73,-52.46,0.9,0.3,22.93,15.18,11.75,32.13,0.37,0.47,18.02,8.91,85.39,25.89
RTX,10,4,7,4,10,4,2,4,8.17,-26.92,11.89,1.59,60.64,10.58,3.98,7.67,0.52,1.38,30.28,30.3,20.13,9.83
SHOP,-5,7,10,10,-10,2,5,6,-0.73,208.82,31.54,0.2,16.83,14.81,12.3,16.65,0.74,0.89,-68.75,-68.12,48.75,12.17
SNOW,-5,-7,10,-1,-7,4,0,-8,-12.93,172.92,28.75,2.86,74.08,-52.58,-15.63,-30.76,0.51,1.71,-10.2,-9.35,67.07,-34.28
SOFI,10,3,10,-4,10,-2,6,2,5.37,-25.11,28.58,4.16,80.62,8.37,1.57,14.41,0.11,0.58,83.33,129.47,74.08,9.01
SOUN,-5,-7,10,8,10,0,-3,-8,-6.34,48.83,67.57,0.76,43.15,-107.46,-49.78,-210.68,0.24,0.51,350.0,402.37,39.75,-217.59
TEAM,-5,-7,10,-4,-10,6,0,-8,-14.51,60.56,20.61,3.15,75.89,-14.22,-3.31,-3.38,0.98,4.2,-58.33,-58.09,82.87,-3.57
TEM,-5,-7,10,-4,0,6,0,-8,-12.07,57.07,84.72,3.49,77.74,-72.28,-12.71,-18.45,0.69,3.92,0.0,5.46,61.36,-21.81
TMO,-5,6,3,4,-1,0,5,5,-4.15,12.3,4.94,1.02,50.47,13.06,6.56,15.02,0.44,0.87,0.94,-0.86,39.81,18.22
TMUS,10,7,3,-1,-7,2,8,6,2.93,-45.3,8.9,2.59,72.15,19.42,5.58,13.83,0.4,1.4,-7.66,-11.28,59.59,22.67
TSLA,-5,3,7,8,-10,4,-3,3,-5.61,444.61,11.57,0.66,39.64,6.89,4.12,5.51,0.75,1.25,-37.1,-36.64,17.01,4.74
TTD,-5,7,7,4,6,2,8,6,0.24,12.94,17.74,1.28,56.22,15.8,7.28,15.72,0.46,1.01,21.05,22.72,78.81,18.91
TWLO,-5,0,7,10,-10,0,1,-2,-6.95,31.69,14.71,0.23,18.71,0.85,0.69,1.37,0.5,0.62,-483.33,-482.97,48.88,2.35
TXN,-5,10,7,4,2,2,10,9,1.34,57.44,14.24,1.11,52.5,30.08,14.3,29.21,0.49,1.03,0.68,0.15,57.48,34.33
TYL,-5,5,3,8,4,0,6,4,-1.95,46.68,9.67,0.51,33.98,9.02,5.93,13.72,0.43,0.66,10.92,11.19,44.24,15.42
UBER,10,10,10,4,10,4,3,10,13.05,-77.29,20.37,1.22,53.97,66.97,29.04,33.54,0.87,2.0,157.85,153.68,39.75,9.19
UI,3,10,10,8,10,10,8,10,11.59,-2.71,33.33,0.8,44.41,141.54,59.22,28.72,2.06,4.93,61.79,62.42,44.37,33.69
UNH,10,5,7,2,-10,8,0,6,3.54,-52.32,12.24,2.19,66.44,18.67,5.73,4.04,1.42,4.62,-60.52,-61.22,19.7,6.06
UPST,-5,0,10,-1,-10,2,3,0,-9.15,114.21,65.3,2.91,74.4,4.68,1.22,3.25,0.38,1.44,-514.29,-570.63,92.14,2.34
VEEV,3,8,7,10,8,-2,10,6,8.05,-2.36,16.02,0.15,13.05,13.37,11.15,27.93,0.4,0.48,24.78,27.12,75.67,27.88
VRT,-5,9,10,2,10,6,5,9,3.05,24.03,29.05,2.08,67.56,34.8,10.37,10.67,0.97,3.26,121.74,125.65,34.24,17.77
WAT,3,10,3,4,-4,4,10,9,3.54,9.31,8.05,1.09,52.07,31.2,13.78,20.89,0.66,1.49,-7.75,-7.79,58.96,26.54
WDAY,-5,3,7,6,10,4,6,3,-0.37,54.11,12.59,1.0,49.98,7.17,3.59,6.95,0.52,1.03,29.17,30.57,75.64,6.73
ZS,-5,-7,10,2,-7,2,0,-8,-12.07,70.9,25.5,2.28,69.52,-2.29,-0.71,-1.45,0.49,1.58,-12.5,-3.62,76.68,-4.52
